Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
"Matt Forte, NYJ",11,142,0,0,0,0,0,0,218,813,7,0,30,263,1,0,1,0
"Amari Cooper, Oak",10,139,0,0,0,0,0,0,1,0,0,0,83,1153,5,2,0,0
"Travis Kelce, KC",5,133,0,0,0,0,0,0,1,-5,0,0,85,1125,4,1,0,0
"Demaryius Thomas, Den",11,132,0,0,0,0,0,0,0,0,0,0,90,1083,5,1,2,0
"Larry Fitzgerald, Ari",9,132,1,0,0,0,0,0,2,5,0,0,107,1023,6,0,1,0
"Jonathan Stewart, Car",7,131,0,0,0,0,0,0,218,824,9,0,8,60,0,0,2,0
"Jarvis Landry, Mia",8,130,1,0,0,0,0,0,5,17,0,0,94,1136,4,1,2,0
"Bilal Powell, NYJ",11,129,0,0,0,0,0,0,131,722,3,0,58,388,2,0,1,0
"Dez Bryant, Dal",7,129,1,1,10,1,0,0,0,0,0,0,50,796,8,0,1,0
"Kelvin Benjamin, Car",7,129,0,0,0,0,0,0,0,0,0,0,63,941,7,0,1,0
"Terrelle Pryor, Cle",13,127,9,5,41,0,0,0,8,21,1,0,77,1007,4,1,0,0
"Ryan Mathews, Phi",4,127,0,0,0,0,0,0,155,661,8,2,13,115,1,0,2,0
"Tyreek Hill, KC",5,127,0,0,0,0,0,0,24,267,3,0,61,593,6,0,1,0
"Golden Tate, Det",10,125,0,0,0,0,0,0,10,4,0,0,91,1077,4,1,1,0
"Emmanuel Sanders, Den",11,125,0,0,0,0,0,0,1,4,0,0,79,1032,5,0,0,0
"Terrance West, Bal",8,124,0,0,0,0,0,0,193,774,5,0,34,236,1,0,0,0
"Mike Wallace, Bal",8,124,0,0,0,0,0,0,5,31,0,0,72,1017,4,1,0,0
"Julian Edelman, NE",9,124,0,0,0,0,0,0,12,57,0,0,98,1106,3,1,2,0
"Case Keenum, LA",8,122,322,196,2201,9,11,0,20,51,1,0,0,0,0,0,1,0
"Kenny Britt, LA",8,122,0,0,0,0,0,0,0,0,0,0,68,1002,5,0,1,0
"Adam Thielen, Min",6,121,0,0,0,0,0,0,2,15,0,0,69,967,5,0,1,0
"Kenny Stills, Mia",8,121,0,0,0,0,0,0,0,0,0,0,42,726,9,0,0,0
"Greg Olsen, Car",7,121,0,0,0,0,0,0,0,0,0,0,80,1073,3,1,0,0
"Kyle Rudolph, Min",6,120,0,0,0,0,0,0,0,0,0,0,83,840,7,0,0,0
"Jimmy Graham, Sea",5,120,0,0,0,0,0,0,1,0,0,0,65,923,6,0,2,0
"Allen Robinson, Jax",5,118,0,0,0,0,0,0,0,0,0,0,73,883,6,1,0,0
"DeSean Jackson, Was",9,118,0,0,0,0,0,0,0,0,0,0,56,1005,4,0,0,0
"Delanie Walker, Ten",13,117,0,0,0,0,0,0,2,11,0,0,65,800,7,0,0,0
"Jamison Crowder, Was",9,117,0,0,0,0,0,0,2,-2,0,0,67,847,7,0,1,0
"A.J. Green, Cin",9,116,0,0,0,0,0,0,0,0,0,0,66,964,4,0,0,0
"Brandon LaFell, Cin",9,115,0,0,0,0,0,0,1,-2,0,0,64,862,6,0,0,0
"Willie Snead, NO",5,114,1,1,50,1,0,0,0,0,0,0,72,895,4,0,0,0
"Sterling Shepard, NYG",8,114,0,0,0,0,0,0,3,31,0,0,65,683,8,0,0,0
"Pierre Garcon, Was",9,113,0,0,0,0,0,0,0,0,0,0,79,1041,3,0,0,0
"DeAndre Hopkins, Hou",9,112,0,0,0,0,0,0,0,0,0,0,78,954,4,0,0,0
"Cameron Meredith, Chi",9,111,1,1,2,1,0,0,1,6,0,0,66,888,4,0,2,0
"Mike Gillislee, Buf",10,111,0,0,0,0,0,0,101,577,8,0,9,50,1,0,0,0
"Rob Kelley, Was",9,110,0,0,0,0,0,0,168,704,6,0,12,82,1,0,0,0
